Setup title,MFCV-Low(1)
0.2,1.23225E-10,1.68804E-09,,1000,
0.4,1.24226E-10,1.32591E-09,,1000,
0.6,1.25458E-10,1.03487E-09,,1000,
0.8,1.26774E-10,3.76065E-10,,1000,
1,1.28008E-10,3.46096E-10,,1000,
1.2,1.29102E-10,3.09988E-10,,1000,
1.4,1.29993E-10,4.07619E-10,,1000,
1.6,1.30773E-10,-9.91703E-12,,1000,
1.8,1.31338E-10,1.69814E-10,,1000,
2,1.31808E-10,-6.08277E-12,,1000,
2.2,1.32211E-10,1.49232E-10,,1000,
2.4,1.32539E-10,-1.51219E-10,,1000,
2.6,1.32814E-10,2.30213E-10,,1000,
2.8,1.33071E-10,-5.79104E-11,,1000,
3,1.33251E-10,4.73669E-11,,1000,
3.2,1.33417E-10,6.06562E-11,,1000,
3.4,1.33549E-10,1.66536E-10,,1000,
3.6,1.33688E-10,1.11681E-10,,1000,
3.8,1.33794E-10,1.57761E-10,,1000,
4,1.33932E-10,-3.5605E-10,,1000,
4.2,1.33988E-10,9.33618E-11,,1000,
4.4,1.34051E-10,1.39845E-10,,1000,
4.6,1.34111E-10,1.1222E-10,,1000,
4.8,1.34177E-10,5.32026E-11,,1000,
5,1.34215E-10,9.49207E-11,,1000,
5.2,1.34317E-10,-1.45498E-10,,1000,
5.4,1.34355E-10,-1.07754E-10,,1000,
5.6,1.3441E-10,-7.19986E-11,,1000,
5.8,1.3443E-10,7.70103E-11,,1000,
6,1.34481E-10,8.67389E-11,,1000,
6.2,1.34574E-10,-2.23502E-11,,1000,
6.4,1.34538E-10,-3.84387E-11,,1000,
6.6,1.34573E-10,1.50305E-10,,1000,
6.8,1.34639E-10,7.49952E-11,,1000,
7,1.34667E-10,-2.28992E-10,,1000,
7.2,1.3468E-10,2.33324E-11,,1000,
7.4,1.34669E-10,-1.44158E-11,,1000,
7.6,1.34711E-10,3.32624E-11,,1000,
7.8,1.34726E-10,1.27038E-10,,1000,
8,1.34768E-10,2.63007E-11,,1000,
8.2,1.34753E-10,-6.40976E-11,,1000,
8.4,1.34774E-10,8.49112E-11,,1000,
8.6,1.34778E-10,-2.80664E-10,,1000,
8.8,1.34804E-10,-1.77353E-10,,1000,
9,1.34859E-10,-1.17756E-10,,1000,
9.2,1.34894E-10,-4.62352E-11,,1000,
9.4,1.34889E-10,-2.29022E-10,,1000,
9.6,1.34887E-10,-1.25707E-10,,1000,
9.8,1.34879E-10,-2.32994E-10,,1000,
10,1.34914E-10,2.6768E-10,,1000,
10,1.3489E-10,2.78738E-11,,1000,
9.8,1.34909E-10,1.18669E-10,,1000,
9.6,1.34884E-10,-1.2968E-10,,1000,
9.4,1.34867E-10,-7.80207E-11,,1000,
9.2,1.34863E-10,-1.73388E-10,,1000,
9,1.34855E-10,-2.04012E-11,,1000,
8.8,1.34803E-10,-1.37617E-10,,1000,
8.6,1.34803E-10,3.05444E-10,,1000,
8.4,1.34772E-10,-5.81397E-11,,1000,
8.2,1.34815E-10,1.13933E-11,,1000,
8,1.3478E-10,-2.2106E-10,,1000,
7.8,1.3474E-10,1.93506E-11,,1000,
7.6,1.34765E-10,-2.23759E-11,,1000,
7.4,1.34696E-10,-2.03167E-10,,1000,
7.2,1.34676E-10,9.54546E-11,,1000,
7,1.34658E-10,6.30718E-11,,1000,
6.8,1.34647E-10,-1.45543E-10,,1000,
6.6,1.34572E-10,1.93617E-10,,1000,
6.4,1.34571E-10,1.0878E-10,,1000,
6.2,1.34503E-10,-2.05526E-11,,1000,
6,1.34518E-10,-5.41318E-11,,1000,
5.8,1.34427E-10,-1.69355E-10,,1000,
5.6,1.34391E-10,-5.0141E-11,,1000,
5.4,1.34381E-10,-3.08426E-10,,1000,
5.2,1.34294E-10,1.72813E-12,,1000,
5,1.34247E-10,1.12798E-10,,1000,
4.8,1.34165E-10,1.50558E-10,,1000,
4.6,1.34146E-10,1.12811E-10,,1000,
4.4,1.34044E-10,-9.57912E-11,,1000,
4.2,1.34015E-10,-3.81694E-11,,1000,
4,1.33898E-10,9.69503E-11,,1000,
3.8,1.33771E-10,9.08081E-11,,1000,
3.6,1.33659E-10,2.93678E-10,,1000,
3.4,1.33553E-10,-1.65264E-10,,1000,
3.2,1.334E-10,3.41396E-10,,1000,
3,1.33251E-10,-2.30366E-12,,1000,
2.8,1.33069E-10,-2.81077E-11,,1000,
2.6,1.32768E-10,1.78562E-10,,1000,
2.4,1.3252E-10,1.75417E-10,,1000,
2.2,1.32184E-10,4.55238E-11,,1000,
2,1.31779E-10,1.53662E-10,,1000,
1.8,1.31285E-10,1.78961E-10,,1000,
1.6,1.30678E-10,1.17252E-10,,1000,
1.4,1.29931E-10,2.32589E-10,,1000,
1.2,1.29012E-10,4.01791E-10,,1000,
1,1.27907E-10,4.64127E-10,,1000,
0.8,1.26651E-10,6.22447E-10,,1000,
0.6,1.25341E-10,9.64158E-10,,1000,
0.4,1.24142E-10,1.34658E-09,,1000,
0.2,1.23167E-10,1.76991E-09,,1000,
0,1.22494E-10,2.13935E-09,,1000,
-0.2,1.2204E-10,2.49604E-09,,1000,
-0.4,1.21767E-10,2.91629E-09,,1000,
-0.6,1.21575E-10,3.09533E-09,,1000,
-0.8,1.21416E-10,3.17324E-09,,1000,
-1,1.21283E-10,3.17027E-09,,1000,
-1.2,1.21155E-10,3.14029E-09,,1000,
-1.4,1.21045E-10,3.1262E-09,,1000,
-1.6,1.2095E-10,2.94819E-09,,1000,
-1.8,1.20848E-10,2.96152E-09,,1000,
-2,1.20776E-10,2.53019E-09,,1000,
-2.2,1.20688E-10,2.29476E-09,,1000,
-2.4,1.20625E-10,2.21828E-09,,1000,
-2.6,1.20547E-10,1.6882E-09,,1000,
-2.8,1.20515E-10,1.51198E-09,,1000,
-3,1.20465E-10,1.40787E-09,,1000,
-3.2,1.20448E-10,1.24814E-09,,1000,
-3.4,1.20386E-10,8.02103E-10,,1000,
-3.6,1.20382E-10,8.9608E-10,,1000,
-3.8,1.20316E-10,7.92178E-10,,1000,
-4,1.20336E-10,7.29591E-10,,1000,
-4.2,1.20322E-10,5.63295E-10,,1000,
-4.4,1.20305E-10,5.36873E-10,,1000,
-4.6,1.20273E-10,4.04555E-10,,1000,
-4.8,1.20262E-10,4.15285E-10,,1000,
-5,1.20244E-10,3.60849E-10,,1000,
-5,1.20272E-10,5.73515E-10,,1147.257,
-4.8,1.20278E-10,4.51126E-10,,1147.257,
-4.6,1.20302E-10,6.4762E-10,,1147.257,
-4.4,1.20317E-10,6.33909E-10,,1147.257,
-4.2,1.2035E-10,6.90926E-10,,1147.257,
-4,1.20377E-10,9.04904E-10,,1147.257,
-3.8,1.20405E-10,1.02312E-09,,1147.257,
-3.6,1.20434E-10,1.24067E-09,,1147.257,
-3.4,1.20474E-10,1.1447E-09,,1147.257,
-3.2,1.20493E-10,1.60385E-09,,1147.257,
-3,1.20491E-10,1.3851E-09,,1147.257,
-2.8,1.20548E-10,1.93942E-09,,1147.257,
-2.6,1.20602E-10,2.19492E-09,,1147.257,
-2.4,1.20658E-10,2.3932E-09,,1147.257,
-2.2,1.20705E-10,2.64512E-09,,1147.257,
-2,1.20779E-10,2.80386E-09,,1147.257,
-1.8,1.20855E-10,3.09711E-09,,1147.257,
-1.6,1.20936E-10,3.37724E-09,,1147.257,
-1.4,1.21044E-10,3.53776E-09,,1147.257,
-1.2,1.21145E-10,3.51827E-09,,1147.257,
-1,1.2123E-10,3.67939E-09,,1147.257,
-0.8,1.2138E-10,3.63964E-09,,1147.257,
-0.6,1.21538E-10,3.43597E-09,,1147.257,
-0.4,1.21735E-10,3.26289E-09,,1147.257,
-0.2,1.22024E-10,2.94039E-09,,1147.257,
0,1.22491E-10,2.45951E-09,,1147.257,
0.2,1.23173E-10,1.90688E-09,,1147.257,
0.4,1.24174E-10,1.54812E-09,,1147.257,
0.6,1.25387E-10,1.05463E-09,,1147.257,
0.8,1.26723E-10,8.38483E-10,,1147.257,
1,1.27984E-10,4.86247E-10,,1147.257,
1.2,1.29075E-10,-4.45828E-11,,1147.257,
1.4,1.29969E-10,3.74716E-10,,1147.257,
1.6,1.30767E-10,4.85912E-12,,1147.257,
1.8,1.31332E-10,6.43875E-11,,1147.257,
2,1.31854E-10,1.26593E-11,,1147.257,
2.2,1.32208E-10,5.43347E-11,,1147.257,
2.4,1.32529E-10,-4.30633E-11,,1147.257,
2.6,1.32815E-10,1.8141E-10,,1147.257,
2.8,1.33064E-10,-1.02741E-10,,1147.257,
3,1.33234E-10,-7.09743E-11,,1147.257,
3.2,1.33403E-10,-7.89445E-11,,1147.257,
3.4,1.33539E-10,2.97342E-10,,1147.257,
3.6,1.33697E-10,1.77316E-10,,1147.257,
3.8,1.33795E-10,1.15711E-10,,1147.257,
4,1.33909E-10,-9.0934E-11,,1147.257,
4.2,1.34019E-10,-1.14758E-11,,1147.257,
4.4,1.34043E-10,1.80449E-10,,1147.257,
4.6,1.34118E-10,-1.94365E-11,,1147.257,
4.8,1.34245E-10,-1.34933E-11,,1147.257,
5,1.34248E-10,4.55151E-11,,1147.257,
5.2,1.34318E-10,7.98778E-11,,1147.257,
5.4,1.34335E-10,1.41467E-10,,1147.257,
5.6,1.344E-10,9.596E-11,,1147.257,
5.8,1.34434E-10,-1.36702E-10,,1147.257,
6,1.34496E-10,1.17603E-10,,1147.257,
6.2,1.34534E-10,-3.85069E-10,,1147.257,
6.4,1.34558E-10,2.5866E-10,,1147.257,
6.6,1.34585E-10,1.39645E-10,,1147.257,
6.8,1.34637E-10,5.2019E-11,,1147.257,
7,1.34636E-10,-1.98321E-10,,1147.257,
7.2,1.34698E-10,1.57313E-10,,1147.257,
7.4,1.34696E-10,-1.14883E-10,,1147.257,
7.6,1.34717E-10,8.57842E-11,,1147.257,
7.8,1.3471E-10,-1.52634E-10,,1147.257,
8,1.34811E-10,-7.71484E-11,,1147.257,
8.2,1.3477E-10,-1.72511E-10,,1147.257,
8.4,1.34786E-10,-6.91977E-11,,1147.257,
8.6,1.34814E-10,-9.10567E-11,,1147.257,
8.8,1.34818E-10,2.2306E-10,,1147.257,
9,1.34873E-10,-5.72886E-11,,1147.257,
9.2,1.34866E-10,-2.04313E-10,,1147.257,
9.4,1.34892E-10,1.55299E-10,,1147.257,
9.6,1.34868E-10,-1.88419E-10,,1147.257,
9.8,1.34885E-10,5.5959E-11,,1147.257,
10,1.34919E-10,-1.42728E-10,,1147.257,
10,1.34926E-10,-2.65913E-10,,1147.257,
9.8,1.34908E-10,6.58901E-11,,1147.257,
9.6,1.349E-10,1.51325E-10,,1147.257,
9.4,1.34844E-10,1.47359E-10,,1147.257,
9.2,1.34881E-10,-1.62591E-10,,1147.257,
9,1.3485E-10,-2.97692E-10,,1147.257,
8.8,1.34842E-10,2.10937E-10,,1147.257,
8.6,1.34819E-10,7.18626E-11,,1147.257,
8.4,1.34737E-10,-9.10462E-11,,1147.257,
8.2,1.34773E-10,1.24718E-10,,1147.257,
8,1.34816E-10,-2.00332E-10,,1147.257,
7.8,1.34699E-10,1.09629E-10,,1147.257,
7.6,1.34729E-10,-2.26149E-10,,1147.257,
7.4,1.347E-10,4.40631E-11,,1147.257,
7.2,1.34672E-10,-7.59056E-12,,1147.257,
7,1.34658E-10,-3.54043E-11,,1147.257,
6.8,1.34598E-10,1.70638E-10,,1147.257,
6.6,1.34623E-10,9.57311E-11,,1147.257,
6.4,1.34542E-10,1.87136E-10,,1147.257,
6.2,1.34516E-10,1.28528E-10,,1147.257,
6,1.34509E-10,3.61417E-11,,1147.257,
5.8,1.34444E-10,1.93706E-10,,1147.257,
5.6,1.344E-10,-3.31407E-10,,1147.257,
5.4,1.34352E-10,8.34739E-12,,1147.257,
5.2,1.3432E-10,1.09481E-10,,1147.257,
5,1.34254E-10,1.2161E-10,,1147.257,
4.8,1.34204E-10,-9.29608E-11,,1147.257,
4.6,1.34134E-10,-1.90306E-10,,1147.257,
4.4,1.34041E-10,-5.51825E-12,,1147.257,
4.2,1.33988E-10,4.42299E-12,,1147.257,
4,1.33924E-10,9.78126E-11,,1147.257,
3.8,1.33823E-10,-4.42591E-10,,1147.257,
3.6,1.33691E-10,1.07778E-10,,1147.257,
3.4,1.33532E-10,5.81291E-11,,1147.257,
3.2,1.33413E-10,3.8277E-11,,1147.257,
3,1.33229E-10,8.49946E-12,,1147.257,
2.8,1.33033E-10,8.60123E-11,,1147.257,
2.6,1.32791E-10,1.29557E-10,,1147.257,
2.4,1.32514E-10,2.25161E-10,,1147.257,
2.2,1.32173E-10,8.71222E-11,,1147.257,
2,1.31787E-10,2.53075E-10,,1147.257,
1.8,1.31289E-10,3.74736E-10,,1147.257,
1.6,1.3067E-10,2.38722E-10,,1147.257,
1.4,1.29904E-10,3.58433E-10,,1147.257,
1.2,1.28992E-10,4.84322E-10,,1147.257,
1,1.27881E-10,6.32094E-10,,1147.257,
0.8,1.26629E-10,8.41873E-10,,1147.257,
0.6,1.2531E-10,1.13491E-09,,1147.257,
0.4,1.24144E-10,1.45813E-09,,1147.257,
0.2,1.23143E-10,1.93212E-09,,1147.257,
0,1.2245E-10,2.55846E-09,,1147.257,
-0.2,1.2203E-10,2.8935E-09,,1147.257,
-0.4,1.21741E-10,3.15123E-09,,1147.257,
-0.6,1.21539E-10,3.38669E-09,,1147.257,
-0.8,1.21363E-10,3.69348E-09,,1147.257,
-1,1.21236E-10,3.67403E-09,,1147.257,
-1.2,1.21132E-10,3.44298E-09,,1147.257,
-1.4,1.21022E-10,3.35517E-09,,1147.257,
-1.6,1.2092E-10,3.34287E-09,,1147.257,
-1.8,1.20844E-10,2.93458E-09,,1147.257,
-2,1.2074E-10,2.81281E-09,,1147.257,
-2.2,1.2066E-10,2.49612E-09,,1147.257,
-2.4,1.20598E-10,2.2732E-09,,1147.257,
-2.6,1.20547E-10,1.99903E-09,,1147.257,
-2.8,1.20516E-10,1.63624E-09,,1147.257,
-3,1.20462E-10,1.42783E-09,,1147.257,
-3.2,1.20424E-10,1.39227E-09,,1147.257,
-3.4,1.20409E-10,1.16617E-09,,1147.257,
-3.6,1.20382E-10,9.80602E-10,,1147.257,
-3.8,1.20368E-10,8.04968E-10,,1147.257,
-4,1.20348E-10,8.09937E-10,,1147.257,
-4.2,1.2032E-10,6.70863E-10,,1147.257,
-4.4,1.20273E-10,5.2901E-10,,1147.257,
-4.6,1.20291E-10,5.01391E-10,,1147.257,
-4.8,1.20265E-10,3.9947E-10,,1147.257,
-5,1.20242E-10,5.22458E-10,,1147.257,
-5,1.20252E-10,3.11409E-10,,1316.199,
-4.8,1.20262E-10,4.97376E-10,,1316.199,
-4.6,1.20284E-10,4.51278E-10,,1316.199,
-4.4,1.2032E-10,7.90426E-10,,1316.199,
-4.2,1.20355E-10,7.18498E-10,,1316.199,
-4,1.2035E-10,9.55329E-10,,1316.199,
-3.8,1.20392E-10,8.49624E-10,,1316.199,
-3.6,1.20416E-10,1.10394E-09,,1316.199,
-3.4,1.20431E-10,1.34871E-09,,1316.199,
-3.2,1.20472E-10,1.63362E-09,,1316.199,
-3,1.20489E-10,1.62726E-09,,1316.199,
-2.8,1.20561E-10,1.80249E-09,,1316.199,
-2.6,1.20571E-10,2.09733E-09,,1316.199,
-2.4,1.20626E-10,2.48933E-09,,1316.199,
-2.2,1.2068E-10,2.82509E-09,,1316.199,
-2,1.20763E-10,3.03906E-09,,1316.199,
-1.8,1.20825E-10,3.23297E-09,,1316.199,
-1.6,1.20908E-10,3.63172E-09,,1316.199,
-1.4,1.21015E-10,3.85264E-09,,1316.199,
-1.2,1.21112E-10,3.83335E-09,,1316.199,
-1,1.21226E-10,3.98195E-09,,1316.199,
-0.8,1.21345E-10,3.99565E-09,,1316.199,
-0.6,1.21506E-10,3.72979E-09,,1316.199,
-0.4,1.2169E-10,3.57201E-09,,1316.199,
-0.2,1.21989E-10,3.08956E-09,,1316.199,
0,1.22451E-10,2.76267E-09,,1316.199,
0.2,1.2314E-10,2.24421E-09,,1316.199,
0.4,1.24142E-10,1.74736E-09,,1316.199,
0.6,1.25384E-10,1.38659E-09,,1316.199,
0.8,1.26697E-10,9.03012E-10,,1316.199,
1,1.27945E-10,7.6754E-10,,1316.199,
1.2,1.2904E-10,2.48629E-10,,1316.199,
1.4,1.29978E-10,4.22748E-10,,1316.199,
1.6,1.3073E-10,2.83369E-10,,1316.199,
1.8,1.31311E-10,2.26069E-10,,1316.199,
2,1.31806E-10,-7.85799E-11,,1316.199,
2.2,1.32244E-10,-2.10211E-11,,1316.199,
2.4,1.32544E-10,1.12056E-10,,1316.199,
2.6,1.32801E-10,2.19707E-10,,1316.199,
2.8,1.3306E-10,1.47749E-10,,1316.199,
3,1.33238E-10,7.79869E-11,,1316.199,
3.2,1.33441E-10,-9.26268E-12,,1316.199,
3.4,1.3355E-10,1.07946E-10,,1316.199,
3.6,1.33678E-10,-2.21886E-10,,1316.199,
3.8,1.33797E-10,-1.70245E-10,,1316.199,
4,1.33889E-10,1.17834E-10,,1316.199,
4.2,1.33999E-10,-1.5299E-11,,1316.199,
4.4,1.34077E-10,-9.34905E-12,,1316.199,
4.6,1.34125E-10,6.21704E-11,,1316.199,
4.8,1.34193E-10,1.07858E-10,,1316.199,
5,1.34234E-10,1.44715E-11,,1316.199,
5.2,1.34339E-10,2.0122E-10,,1316.199,
5.4,1.34369E-10,-2.49796E-10,,1316.199,
5.6,1.3443E-10,1.89286E-10,,1316.199,
5.8,1.34436E-10,6.80886E-11,,1316.199,
6,1.34488E-10,1.39409E-10,,1316.199,
6.2,1.34533E-10,1.23707E-10,,1316.199,
6.4,1.3454E-10,1.40991E-10,,1316.199,
6.6,1.34599E-10,9.92597E-11,,1316.199,
6.8,1.34624E-10,1.03627E-10,,1316.199,
7,1.3465E-10,7.99806E-11,,1316.199,
7.2,1.34664E-10,8.19654E-11,,1316.199,
7.4,1.34705E-10,-2.35934E-10,,1316.199,
7.6,1.34746E-10,4.46774E-12,,1316.199,
7.8,1.34749E-10,-1.9819E-10,,1316.199,
8,1.34764E-10,1.27649E-10,,1316.199,
8.2,1.34778E-10,3.00899E-10,,1316.199,
8.4,1.34814E-10,3.44207E-10,,1316.199,
8.6,1.34851E-10,-1.28664E-10,,1316.199,
8.8,1.34831E-10,5.88585E-10,,1316.199,
9,1.34897E-10,-2.93289E-11,,1316.199,
9.2,1.3486E-10,1.53465E-10,,1316.199,
9.4,1.34861E-10,1.75519E-10,,1316.199,
9.6,1.3488E-10,-9.09185E-11,,1316.199,
9.8,1.34922E-10,5.80883E-11,,1316.199,
10,1.34926E-10,-3.11463E-10,,1316.199,
10,1.34912E-10,9.40514E-11,,1316.199,
9.8,1.34932E-10,2.9452E-10,,1316.199,
9.6,1.34878E-10,-8.69445E-11,,1316.199,
9.4,1.3489E-10,-1.20722E-10,,1316.199,
9.2,1.34863E-10,1.62803E-10,,1316.199,
9,1.34845E-10,-1.50615E-12,,1316.199,
8.8,1.34828E-10,-2.37937E-10,,1316.199,
8.6,1.34817E-10,-3.92522E-11,,1316.199,
8.4,1.34808E-10,2.21024E-10,,1316.199,
8.2,1.34802E-10,-8.8921E-11,,1316.199,
8,1.34772E-10,2.74674E-10,,1316.199,
7.8,1.34767E-10,-1.22692E-10,,1316.199,
7.6,1.34726E-10,-4.06804E-10,,1316.199,
7.4,1.34705E-10,6.50718E-11,,1316.199,
7.2,1.34677E-10,4.56046E-11,,1316.199,
7,1.34674E-10,-1.48509E-10,,1316.199,
6.8,1.34609E-10,-2.92897E-11,,1316.199,
6.6,1.34618E-10,-3.72383E-11,,1316.199,
6.4,1.34588E-10,-4.12078E-11,,1316.199,
6.2,1.3454E-10,2.43642E-11,,1316.199,
6,1.34468E-10,3.28359E-10,,1316.199,
5.8,1.34455E-10,-2.06097E-10,,1316.199,
5.6,1.34429E-10,-1.33706E-11,,1316.199,
5.4,1.34388E-10,-1.1668E-10,,1316.199,
5.2,1.3434E-10,-4.11741E-11,,1316.199,
5,1.34266E-10,9.39405E-11,,1316.199,
4.8,1.34198E-10,-1.80233E-10,,1316.199,
4.6,1.34136E-10,-1.2658E-10,,1316.199,
4.4,1.3403E-10,1.0788E-10,,1316.199,
4.2,1.33998E-10,3.34384E-10,,1316.199,
4,1.33886E-10,-2.4377E-10,,1316.199,
3.8,1.33801E-10,1.85398E-10,,1316.199,
3.6,1.33694E-10,5.22948E-11,,1316.199,
3.4,1.33535E-10,-6.29199E-11,,1316.199,
3.2,1.33392E-10,1.0598E-10,,1316.199,
3,1.33207E-10,2.11308E-10,,1316.199,
2.8,1.33019E-10,8.41758E-11,,1316.199,
