Setup title,MFCV-High(1)
-0.2,1.21849E-10,2.36139E-06,,243462.6,
0,1.22339E-10,2.42213E-06,,243462.6,
0.2,1.23103E-10,2.50089E-06,,243462.6,
0.4,1.24188E-10,2.64717E-06,,243462.6,
0.6,1.25523E-10,2.82113E-06,,243462.6,
0.8,1.26947E-10,3.00627E-06,,243462.6,
1,1.2829E-10,3.18284E-06,,243462.6,
1.2,1.29464E-10,3.31836E-06,,243462.6,
1.4,1.30445E-10,3.4092E-06,,243462.6,
1.6,1.31239E-10,3.4787E-06,,243462.6,
1.8,1.31872E-10,3.50293E-06,,243462.6,
2,1.32397E-10,3.53309E-06,,243462.6,
2.2,1.32815E-10,3.54259E-06,,243462.6,
2.4,1.33168E-10,3.55663E-06,,243462.6,
2.6,1.3346E-10,3.55022E-06,,243462.6,
2.8,1.337E-10,3.54764E-06,,243462.6,
3,1.33915E-10,3.53861E-06,,243462.6,
3.2,1.3409E-10,3.52522E-06,,243462.6,
3.4,1.34242E-10,3.51464E-06,,243462.6,
3.6,1.34377E-10,3.50038E-06,,243462.6,
3.8,1.34495E-10,3.48414E-06,,243462.6,
4,1.34605E-10,3.47832E-06,,243462.6,
4.2,1.34699E-10,3.4694E-06,,243462.6,
4.4,1.34774E-10,3.45062E-06,,243462.6,
4.6,1.34853E-10,3.45101E-06,,243462.6,
4.8,1.34927E-10,3.42778E-06,,243462.6,
5,1.34982E-10,3.42911E-06,,243462.6,
5.2,1.35043E-10,3.40937E-06,,243462.6,
5.4,1.35089E-10,3.40593E-06,,243462.6,
5.6,1.35136E-10,3.39802E-06,,243462.6,
5.8,1.35184E-10,3.39065E-06,,243462.6,
6,1.35225E-10,3.37909E-06,,243462.6,
6.2,1.35258E-10,3.38389E-06,,243462.6,
6.4,1.353E-10,3.36981E-06,,243462.6,
6.6,1.35324E-10,3.36276E-06,,243462.6,
6.8,1.35358E-10,3.3638E-06,,243462.6,
7,1.35386E-10,3.35156E-06,,243462.6,
7.2,1.35408E-10,3.34491E-06,,243462.6,
7.4,1.35432E-10,3.33728E-06,,243462.6,
7.6,1.3546E-10,3.33624E-06,,243462.6,
7.8,1.35483E-10,3.32796E-06,,243462.6,
8,1.35509E-10,3.3305E-06,,243462.6,
8.2,1.35519E-10,3.32733E-06,,243462.6,
8.4,1.35548E-10,3.31938E-06,,243462.6,
8.6,1.35562E-10,3.31261E-06,,243462.6,
8.8,1.35585E-10,3.30856E-06,,243462.6,
9,1.35597E-10,3.30007E-06,,243462.6,
9.2,1.35616E-10,3.30134E-06,,243462.6,
9.4,1.35626E-10,3.29676E-06,,243462.6,
9.6,1.35632E-10,3.28893E-06,,243462.6,
9.8,1.35653E-10,3.2936E-06,,243462.6,
10,1.35672E-10,3.28103E-06,,243462.6,
10,1.35664E-10,3.28825E-06,,243462.6,
9.8,1.35656E-10,3.28047E-06,,243462.6,
9.6,1.35645E-10,3.29164E-06,,243462.6,
9.4,1.35618E-10,3.29564E-06,,243462.6,
9.2,1.35614E-10,3.29608E-06,,243462.6,
9,1.35591E-10,3.29215E-06,,243462.6,
8.8,1.35573E-10,3.30202E-06,,243462.6,
8.6,1.35563E-10,3.31303E-06,,243462.6,
8.4,1.35546E-10,3.31354E-06,,243462.6,
8.2,1.35527E-10,3.31962E-06,,243462.6,
8,1.35506E-10,3.32814E-06,,243462.6,
7.8,1.35485E-10,3.33133E-06,,243462.6,
7.6,1.3546E-10,3.33177E-06,,243462.6,
7.4,1.3544E-10,3.33944E-06,,243462.6,
7.2,1.35414E-10,3.34033E-06,,243462.6,
7,1.35393E-10,3.35523E-06,,243462.6,
6.8,1.35354E-10,3.35733E-06,,243462.6,
6.6,1.35331E-10,3.36412E-06,,243462.6,
6.4,1.35297E-10,3.36936E-06,,243462.6,
6.2,1.35259E-10,3.37384E-06,,243462.6,
6,1.35226E-10,3.37899E-06,,243462.6,
5.8,1.35173E-10,3.39414E-06,,243462.6,
5.6,1.35145E-10,3.39297E-06,,243462.6,
5.4,1.35087E-10,3.40279E-06,,243462.6,
5.2,1.35039E-10,3.42409E-06,,243462.6,
5,1.34985E-10,3.42308E-06,,243462.6,
4.8,1.34917E-10,3.4302E-06,,243462.6,
4.6,1.34858E-10,3.44235E-06,,243462.6,
4.4,1.3478E-10,3.44655E-06,,243462.6,
4.2,1.34689E-10,3.4672E-06,,243462.6,
4,1.34593E-10,3.46495E-06,,243462.6,
3.8,1.34497E-10,3.48124E-06,,243462.6,
3.6,1.34379E-10,3.50039E-06,,243462.6,
3.4,1.34234E-10,3.50668E-06,,243462.6,
3.2,1.34075E-10,3.51942E-06,,243462.6,
3,1.33895E-10,3.53463E-06,,243462.6,
2.8,1.33691E-10,3.54218E-06,,243462.6,
2.6,1.33444E-10,3.538E-06,,243462.6,
2.4,1.33142E-10,3.54393E-06,,243462.6,
2.2,1.32792E-10,3.54142E-06,,243462.6,
2,1.32364E-10,3.53381E-06,,243462.6,
1.8,1.31841E-10,3.49994E-06,,243462.6,
1.6,1.31189E-10,3.44915E-06,,243462.6,
1.4,1.30389E-10,3.38512E-06,,243462.6,
1.2,1.29405E-10,3.29599E-06,,243462.6,
1,1.28207E-10,3.1391E-06,,243462.6,
0.8,1.26859E-10,2.99544E-06,,243462.6,
0.6,1.25436E-10,2.80085E-06,,243462.6,
0.4,1.24113E-10,2.63063E-06,,243462.6,
0.2,1.23047E-10,2.49641E-06,,243462.6,
0,1.22293E-10,2.40187E-06,,243462.6,
-0.2,1.21813E-10,2.34504E-06,,243462.6,
-0.4,1.21523E-10,2.29826E-06,,243462.6,
-0.6,1.21352E-10,2.26829E-06,,243462.6,
-0.8,1.21255E-10,2.24256E-06,,243462.6,
-1,1.21189E-10,2.2168E-06,,243462.6,
-1.2,1.21149E-10,2.19937E-06,,243462.6,
-1.4,1.21116E-10,2.18281E-06,,243462.6,
-1.6,1.21087E-10,2.17175E-06,,243462.6,
-1.8,1.21069E-10,2.16835E-06,,243462.6,
-2,1.21052E-10,2.16624E-06,,243462.6,
-2.2,1.21033E-10,2.1608E-06,,243462.6,
-2.4,1.21021E-10,2.15387E-06,,243462.6,
-2.6,1.21004E-10,2.15548E-06,,243462.6,
-2.8,1.20984E-10,2.15605E-06,,243462.6,
-3,1.2097E-10,2.15064E-06,,243462.6,
-3.2,1.20949E-10,2.14767E-06,,243462.6,
-3.4,1.20933E-10,2.15128E-06,,243462.6,
-3.6,1.20913E-10,2.14488E-06,,243462.6,
-3.8,1.20901E-10,2.14523E-06,,243462.6,
-4,1.20877E-10,2.152E-06,,243462.6,
-4.2,1.20858E-10,2.14129E-06,,243462.6,
-4.4,1.20832E-10,2.13083E-06,,243462.6,
-4.6,1.20814E-10,2.13932E-06,,243462.6,
-4.8,1.20793E-10,2.14853E-06,,243462.6,
-5,1.20766E-10,2.13624E-06,,243462.6,
-5,1.20986E-10,2.85498E-06,,279314.2,
-4.8,1.21014E-10,2.86609E-06,,279314.2,
-4.6,1.21048E-10,2.84941E-06,,279314.2,
-4.4,1.21069E-10,2.85953E-06,,279314.2,
-4.2,1.21096E-10,2.86639E-06,,279314.2,
-4,1.21113E-10,2.86254E-06,,279314.2,
-3.8,1.2114E-10,2.85441E-06,,279314.2,
-3.6,1.21161E-10,2.85428E-06,,279314.2,
-3.4,1.21178E-10,2.858E-06,,279314.2,
-3.2,1.21192E-10,2.86162E-06,,279314.2,
-3,1.21214E-10,2.86346E-06,,279314.2,
-2.8,1.21229E-10,2.86314E-06,,279314.2,
-2.6,1.21237E-10,2.86985E-06,,279314.2,
-2.4,1.21249E-10,2.87277E-06,,279314.2,
-2.2,1.2127E-10,2.87771E-06,,279314.2,
-2,1.21287E-10,2.87674E-06,,279314.2,
-1.8,1.213E-10,2.88521E-06,,279314.2,
-1.6,1.21321E-10,2.90077E-06,,279314.2,
-1.4,1.21347E-10,2.90042E-06,,279314.2,
-1.2,1.21373E-10,2.9218E-06,,279314.2,
-1,1.21422E-10,2.93787E-06,,279314.2,
-0.8,1.21485E-10,2.96404E-06,,279314.2,
-0.6,1.21587E-10,2.99917E-06,,279314.2,
-0.4,1.2176E-10,3.03299E-06,,279314.2,
-0.2,1.22053E-10,3.0954E-06,,279314.2,
0,1.22544E-10,3.15604E-06,,279314.2,
0.2,1.23299E-10,3.29089E-06,,279314.2,
0.4,1.24379E-10,3.4614E-06,,279314.2,
0.6,1.25712E-10,3.7094E-06,,279314.2,
0.8,1.27134E-10,3.97037E-06,,279314.2,
1,1.28479E-10,4.19046E-06,,279314.2,
1.2,1.29663E-10,4.36813E-06,,279314.2,
1.4,1.30637E-10,4.49652E-06,,279314.2,
1.6,1.31438E-10,4.57993E-06,,279314.2,
1.8,1.32087E-10,4.63927E-06,,279314.2,
2,1.32602E-10,4.66883E-06,,279314.2,
2.2,1.33032E-10,4.68742E-06,,279314.2,
2.4,1.3338E-10,4.68791E-06,,279314.2,
2.6,1.33678E-10,4.68595E-06,,279314.2,
2.8,1.33924E-10,4.66768E-06,,279314.2,
3,1.34136E-10,4.67907E-06,,279314.2,
3.2,1.34312E-10,4.65948E-06,,279314.2,
3.4,1.34472E-10,4.64746E-06,,279314.2,
3.6,1.34606E-10,4.62914E-06,,279314.2,
3.8,1.34727E-10,4.62104E-06,,279314.2,
4,1.34833E-10,4.60075E-06,,279314.2,
4.2,1.34924E-10,4.57641E-06,,279314.2,
4.4,1.35008E-10,4.57856E-06,,279314.2,
4.6,1.35087E-10,4.55729E-06,,279314.2,
4.8,1.35151E-10,4.55125E-06,,279314.2,
5,1.3522E-10,4.5288E-06,,279314.2,
5.2,1.35273E-10,4.52417E-06,,279314.2,
5.4,1.35327E-10,4.50392E-06,,279314.2,
5.6,1.35366E-10,4.49704E-06,,279314.2,
5.8,1.35414E-10,4.48999E-06,,279314.2,
6,1.35461E-10,4.49193E-06,,279314.2,
6.2,1.35495E-10,4.46953E-06,,279314.2,
6.4,1.3553E-10,4.46541E-06,,279314.2,
6.6,1.35568E-10,4.45383E-06,,279314.2,
6.8,1.35592E-10,4.44339E-06,,279314.2,
7,1.35625E-10,4.43872E-06,,279314.2,
7.2,1.3565E-10,4.42993E-06,,279314.2,
7.4,1.35678E-10,4.42396E-06,,279314.2,
7.6,1.35697E-10,4.40733E-06,,279314.2,
7.8,1.35721E-10,4.41272E-06,,279314.2,
8,1.35736E-10,4.3993E-06,,279314.2,
8.2,1.3576E-10,4.40089E-06,,279314.2,
8.4,1.35777E-10,4.39418E-06,,279314.2,
8.6,1.35801E-10,4.37604E-06,,279314.2,
8.8,1.35809E-10,4.38198E-06,,279314.2,
9,1.3583E-10,4.36968E-06,,279314.2,
9.2,1.35845E-10,4.37245E-06,,279314.2,
9.4,1.35867E-10,4.35703E-06,,279314.2,
9.6,1.35876E-10,4.36522E-06,,279314.2,
9.8,1.35893E-10,4.35187E-06,,279314.2,
10,1.35901E-10,4.35311E-06,,279314.2,
10,1.35904E-10,4.36312E-06,,279314.2,
9.8,1.35888E-10,4.3686E-06,,279314.2,
9.6,1.35876E-10,4.36321E-06,,279314.2,
9.4,1.35855E-10,4.37456E-06,,279314.2,
9.2,1.35851E-10,4.37432E-06,,279314.2,
9,1.3583E-10,4.37789E-06,,279314.2,
8.8,1.35816E-10,4.37731E-06,,279314.2,
8.6,1.35798E-10,4.38365E-06,,279314.2,
8.4,1.35779E-10,4.39034E-06,,279314.2,
8.2,1.35748E-10,4.40182E-06,,279314.2,
8,1.35744E-10,4.41297E-06,,279314.2,
7.8,1.35715E-10,4.41851E-06,,279314.2,
7.6,1.35698E-10,4.42157E-06,,279314.2,
7.4,1.35675E-10,4.42612E-06,,279314.2,
7.2,1.35641E-10,4.42281E-06,,279314.2,
7,1.35618E-10,4.44087E-06,,279314.2,
6.8,1.35589E-10,4.4425E-06,,279314.2,
6.6,1.3556E-10,4.4588E-06,,279314.2,
6.4,1.35526E-10,4.46155E-06,,279314.2,
6.2,1.35492E-10,4.46743E-06,,279314.2,
6,1.35457E-10,4.47724E-06,,279314.2,
5.8,1.3541E-10,4.49472E-06,,279314.2,
5.6,1.3537E-10,4.49384E-06,,279314.2,
5.4,1.3532E-10,4.50474E-06,,279314.2,
5.2,1.3527E-10,4.5202E-06,,279314.2,
5,1.35213E-10,4.53815E-06,,279314.2,
4.8,1.3515E-10,4.54557E-06,,279314.2,
4.6,1.3508E-10,4.549E-06,,279314.2,
4.4,1.35E-10,4.567E-06,,279314.2,
4.2,1.34914E-10,4.58345E-06,,279314.2,
4,1.34824E-10,4.59258E-06,,279314.2,
3.8,1.34718E-10,4.61013E-06,,279314.2,
3.6,1.34595E-10,4.63962E-06,,279314.2,
3.4,1.34457E-10,4.63843E-06,,279314.2,
3.2,1.34303E-10,4.64698E-06,,279314.2,
3,1.3412E-10,4.67248E-06,,279314.2,
2.8,1.33904E-10,4.68393E-06,,279314.2,
2.6,1.33661E-10,4.68249E-06,,279314.2,
2.4,1.3336E-10,4.68063E-06,,279314.2,
2.2,1.33006E-10,4.67389E-06,,279314.2,
2,1.32583E-10,4.65084E-06,,279314.2,
1.8,1.32056E-10,4.62807E-06,,279314.2,
1.6,1.314E-10,4.56492E-06,,279314.2,
1.4,1.30596E-10,4.47859E-06,,279314.2,
1.2,1.29609E-10,4.34109E-06,,279314.2,
1,1.28418E-10,4.16599E-06,,279314.2,
0.8,1.27063E-10,3.94281E-06,,279314.2,
0.6,1.25635E-10,3.69079E-06,,279314.2,
0.4,1.2431E-10,3.4585E-06,,279314.2,
0.2,1.23242E-10,3.26496E-06,,279314.2,
0,1.22493E-10,3.15028E-06,,279314.2,
-0.2,1.22019E-10,3.07474E-06,,279314.2,
-0.4,1.21729E-10,3.02171E-06,,279314.2,
-0.6,1.21558E-10,2.97931E-06,,279314.2,
-0.8,1.21459E-10,2.94715E-06,,279314.2,
-1,1.21399E-10,2.91733E-06,,279314.2,
-1.2,1.21352E-10,2.90235E-06,,279314.2,
-1.4,1.21322E-10,2.88667E-06,,279314.2,
-1.6,1.213E-10,2.8801E-06,,279314.2,
-1.8,1.21282E-10,2.87414E-06,,279314.2,
-2,1.21263E-10,2.86368E-06,,279314.2,
-2.2,1.21245E-10,2.86706E-06,,279314.2,
-2.4,1.21229E-10,2.85242E-06,,279314.2,
-2.6,1.2121E-10,2.86517E-06,,279314.2,
-2.8,1.21192E-10,2.85443E-06,,279314.2,
-3,1.21177E-10,2.8525E-06,,279314.2,
-3.2,1.2116E-10,2.85536E-06,,279314.2,
-3.4,1.21142E-10,2.84823E-06,,279314.2,
-3.6,1.21125E-10,2.8458E-06,,279314.2,
-3.8,1.21099E-10,2.84996E-06,,279314.2,
-4,1.21085E-10,2.85036E-06,,279314.2,
-4.2,1.21063E-10,2.84178E-06,,279314.2,
-4.4,1.21038E-10,2.84922E-06,,279314.2,
-4.6,1.21023E-10,2.84401E-06,,279314.2,
-4.8,1.20999E-10,2.8442E-06,,279314.2,
-5,1.20975E-10,2.83465E-06,,279314.2,
-5,1.21261E-10,3.78556E-06,,320445.3,
-4.8,1.21284E-10,3.79601E-06,,320445.3,
-4.6,1.21311E-10,3.78836E-06,,320445.3,
-4.4,1.2134E-10,3.80128E-06,,320445.3,
-4.2,1.21365E-10,3.78934E-06,,320445.3,
-4,1.21386E-10,3.80655E-06,,320445.3,
-3.8,1.21409E-10,3.79678E-06,,320445.3,
-3.6,1.21427E-10,3.8043E-06,,320445.3,
-3.4,1.21456E-10,3.80481E-06,,320445.3,
-3.2,1.21465E-10,3.80485E-06,,320445.3,
-3,1.21478E-10,3.8065E-06,,320445.3,
-2.8,1.21498E-10,3.81236E-06,,320445.3,
-2.6,1.2151E-10,3.81058E-06,,320445.3,
-2.4,1.21524E-10,3.81929E-06,,320445.3,
-2.2,1.21542E-10,3.81593E-06,,320445.3,
-2,1.21556E-10,3.82268E-06,,320445.3,
-1.8,1.21575E-10,3.82141E-06,,320445.3,
-1.6,1.21592E-10,3.83493E-06,,320445.3,
-1.4,1.21614E-10,3.84186E-06,,320445.3,
-1.2,1.21641E-10,3.86099E-06,,320445.3,
-1,1.2169E-10,3.882E-06,,320445.3,
-0.8,1.21753E-10,3.91609E-06,,320445.3,
-0.6,1.21853E-10,3.94254E-06,,320445.3,
-0.4,1.22031E-10,4.00151E-06,,320445.3,
-0.2,1.22319E-10,4.05909E-06,,320445.3,
0,1.22809E-10,4.16737E-06,,320445.3,
0.2,1.23559E-10,4.33901E-06,,320445.3,
0.4,1.24644E-10,4.57532E-06,,320445.3,
0.6,1.2598E-10,4.892E-06,,320445.3,
0.8,1.27394E-10,5.23032E-06,,320445.3,
1,1.28747E-10,5.53452E-06,,320445.3,
1.2,1.29934E-10,5.77587E-06,,320445.3,
1.4,1.3091E-10,5.94167E-06,,320445.3,
1.6,1.3172E-10,6.05788E-06,,320445.3,
1.8,1.32361E-10,6.13322E-06,,320445.3,
2,1.32887E-10,6.17824E-06,,320445.3,
2.2,1.33314E-10,6.20399E-06,,320445.3,
2.4,1.33664E-10,6.20374E-06,,320445.3,
2.6,1.33954E-10,6.2171E-06,,320445.3,
2.8,1.34205E-10,6.19902E-06,,320445.3,
3,1.34416E-10,6.19085E-06,,320445.3,
3.2,1.346E-10,6.17245E-06,,320445.3,
3.4,1.34758E-10,6.1619E-06,,320445.3,
3.6,1.34892E-10,6.14029E-06,,320445.3,
3.8,1.35015E-10,6.11715E-06,,320445.3,
4,1.35125E-10,6.10212E-06,,320445.3,
4.2,1.35214E-10,6.0786E-06,,320445.3,
4.4,1.35303E-10,6.05541E-06,,320445.3,
4.6,1.35381E-10,6.05666E-06,,320445.3,
4.8,1.3545E-10,6.03405E-06,,320445.3,
5,1.35516E-10,6.02291E-06,,320445.3,
5.2,1.35569E-10,6.00087E-06,,320445.3,
5.4,1.35621E-10,5.97844E-06,,320445.3,
5.6,1.35666E-10,5.9722E-06,,320445.3,
5.8,1.35711E-10,5.96189E-06,,320445.3,
6,1.35759E-10,5.94959E-06,,320445.3,
6.2,1.3579E-10,5.94256E-06,,320445.3,
6.4,1.35828E-10,5.92597E-06,,320445.3,
6.6,1.3586E-10,5.9137E-06,,320445.3,
6.8,1.35889E-10,5.90283E-06,,320445.3,
7,1.35924E-10,5.89003E-06,,320445.3,
7.2,1.35952E-10,5.88156E-06,,320445.3,
7.4,1.35975E-10,5.87209E-06,,320445.3,
7.6,1.36E-10,5.86245E-06,,320445.3,
7.8,1.36019E-10,5.8568E-06,,320445.3,
8,1.36042E-10,5.85163E-06,,320445.3,
8.2,1.36063E-10,5.8486E-06,,320445.3,
8.4,1.3608E-10,5.83173E-06,,320445.3,
8.6,1.361E-10,5.83526E-06,,320445.3,
8.8,1.36127E-10,5.82092E-06,,320445.3,
9,1.36141E-10,5.80967E-06,,320445.3,
9.2,1.36152E-10,5.79946E-06,,320445.3,
9.4,1.36165E-10,5.79477E-06,,320445.3,
9.6,1.36183E-10,5.79369E-06,,320445.3,
9.8,1.36189E-10,5.78832E-06,,320445.3,
10,1.36207E-10,5.77899E-06,,320445.3,
10,1.36205E-10,5.79335E-06,,320445.3,
9.8,1.36189E-10,5.7824E-06,,320445.3,
9.6,1.36179E-10,5.7956E-06,,320445.3,
9.4,1.36162E-10,5.80447E-06,,320445.3,
9.2,1.36149E-10,5.80747E-06,,320445.3,
9,1.36135E-10,5.81371E-06,,320445.3,
8.8,1.36114E-10,5.8242E-06,,320445.3,
8.6,1.36102E-10,5.81755E-06,,320445.3,
8.4,1.36089E-10,5.83034E-06,,320445.3,
8.2,1.36065E-10,5.84893E-06,,320445.3,
8,1.36045E-10,5.85745E-06,,320445.3,
7.8,1.36021E-10,5.85163E-06,,320445.3,
7.6,1.35998E-10,5.85171E-06,,320445.3,
7.4,1.35978E-10,5.87284E-06,,320445.3,
7.2,1.35947E-10,5.88288E-06,,320445.3,
7,1.35921E-10,5.88641E-06,,320445.3,
6.8,1.35894E-10,5.90441E-06,,320445.3,
6.6,1.3586E-10,5.9111E-06,,320445.3,
6.4,1.35823E-10,5.92578E-06,,320445.3,
6.2,1.35791E-10,5.94155E-06,,320445.3,
6,1.35751E-10,5.95947E-06,,320445.3,
5.8,1.35713E-10,5.95259E-06,,320445.3,
5.6,1.35666E-10,5.97214E-06,,320445.3,
5.4,1.35616E-10,5.98879E-06,,320445.3,
5.2,1.35567E-10,6.00741E-06,,320445.3,
5,1.3551E-10,6.01464E-06,,320445.3,
4.8,1.35445E-10,6.03603E-06,,320445.3,
4.6,1.35376E-10,6.04586E-06,,320445.3,
4.4,1.35298E-10,6.06769E-06,,320445.3,
4.2,1.35212E-10,6.08091E-06,,320445.3,
4,1.35116E-10,6.10345E-06,,320445.3,
