Setup title,MFCV-Low(1)(1)
-0.2,1.21444E-10,3.55026E-08,,15603.29,
0,1.21929E-10,3.32191E-08,,15603.29,
0.2,1.2266E-10,3.14875E-08,,15603.29,
0.4,1.23728E-10,3.00595E-08,,15603.29,
0.6,1.25025E-10,2.79934E-08,,15603.29,
0.8,1.26417E-10,2.40079E-08,,15603.29,
1,1.27721E-10,2.21742E-08,,15603.29,
1.2,1.28863E-10,2.05572E-08,,15603.29,
1.4,1.29827E-10,2.05201E-08,,15603.29,
1.6,1.30608E-10,1.85401E-08,,15603.29,
1.8,1.3123E-10,1.87021E-08,,15603.29,
2,1.31721E-10,1.81351E-08,,15603.29,
2.2,1.32134E-10,1.69364E-08,,15603.29,
2.4,1.32477E-10,1.79393E-08,,15603.29,
2.6,1.32756E-10,1.76408E-08,,15603.29,
2.8,1.33004E-10,1.67027E-08,,15603.29,
3,1.33185E-10,1.6003E-08,,15603.29,
3.2,1.33364E-10,1.79638E-08,,15603.29,
3.4,1.33524E-10,1.82715E-08,,15603.29,
3.6,1.33644E-10,1.71011E-08,,15603.29,
3.8,1.33752E-10,1.78559E-08,,15603.29,
4,1.33869E-10,1.61709E-08,,15603.29,
4.2,1.33946E-10,1.71423E-08,,15603.29,
4.4,1.34024E-10,1.71839E-08,,15603.29,
4.6,1.34102E-10,1.7003E-08,,15603.29,
4.8,1.34173E-10,1.58049E-08,,15603.29,
5,1.34242E-10,1.58663E-08,,15603.29,
5.2,1.34298E-10,1.68219E-08,,15603.29,
5.4,1.34346E-10,1.57013E-08,,15603.29,
5.6,1.34385E-10,1.56992E-08,,15603.29,
5.8,1.34421E-10,1.73026E-08,,15603.29,
6,1.34473E-10,1.5413E-08,,15603.29,
6.2,1.34511E-10,1.74991E-08,,15603.29,
6.4,1.34537E-10,1.56473E-08,,15603.29,
6.6,1.34565E-10,1.57129E-08,,15603.29,
6.8,1.34609E-10,1.60883E-08,,15603.29,
7,1.3463E-10,1.56373E-08,,15603.29,
7.2,1.34641E-10,1.72426E-08,,15603.29,
7.4,1.34676E-10,1.59134E-08,,15603.29,
7.6,1.34692E-10,1.5355E-08,,15603.29,
7.8,1.34718E-10,1.60206E-08,,15603.29,
8,1.34748E-10,1.59311E-08,,15603.29,
8.2,1.3476E-10,1.58636E-08,,15603.29,
8.4,1.34775E-10,1.55576E-08,,15603.29,
8.6,1.34799E-10,1.4135E-08,,15603.29,
8.8,1.34801E-10,1.48125E-08,,15603.29,
9,1.34827E-10,1.52913E-08,,15603.29,
9.2,1.34838E-10,1.59191E-08,,15603.29,
9.4,1.34862E-10,1.65568E-08,,15603.29,
9.6,1.34869E-10,1.50111E-08,,15603.29,
9.8,1.34885E-10,1.61694E-08,,15603.29,
10,1.34899E-10,1.59786E-08,,15603.29,
10,1.34894E-10,1.54124E-08,,15603.29,
9.8,1.34889E-10,1.65707E-08,,15603.29,
9.6,1.34872E-10,1.57303E-08,,15603.29,
9.4,1.34848E-10,1.47329E-08,,15603.29,
9.2,1.34845E-10,1.54224E-08,,15603.29,
9,1.34818E-10,1.64993E-08,,15603.29,
8.8,1.3481E-10,1.62966E-08,,15603.29,
8.6,1.34797E-10,1.60125E-08,,15603.29,
8.4,1.34775E-10,1.53887E-08,,15603.29,
8.2,1.34757E-10,1.62669E-08,,15603.29,
8,1.34729E-10,1.52855E-08,,15603.29,
7.8,1.34719E-10,1.64259E-08,,15603.29,
7.6,1.34683E-10,1.64697E-08,,15603.29,
7.4,1.34678E-10,1.60664E-08,,15603.29,
7.2,1.34661E-10,1.63465E-08,,15603.29,
7,1.34628E-10,1.61539E-08,,15603.29,
6.8,1.34585E-10,1.47294E-08,,15603.29,
6.6,1.34574E-10,1.57864E-08,,15603.29,
6.4,1.34531E-10,1.68196E-08,,15603.29,
6.2,1.34499E-10,1.63925E-08,,15603.29,
6,1.34453E-10,1.58919E-08,,15603.29,
5.8,1.34421E-10,1.61403E-08,,15603.29,
5.6,1.34395E-10,1.57111E-08,,15603.29,
5.4,1.34347E-10,1.63172E-08,,15603.29,
5.2,1.34289E-10,1.71537E-08,,15603.29,
5,1.34219E-10,1.55147E-08,,15603.29,
4.8,1.34169E-10,1.74619E-08,,15603.29,
4.6,1.34095E-10,1.64567E-08,,15603.29,
4.4,1.34026E-10,1.5209E-08,,15603.29,
4.2,1.33947E-10,1.73986E-08,,15603.29,
4,1.33862E-10,1.65683E-08,,15603.29,
3.8,1.33768E-10,1.69777E-08,,15603.29,
3.6,1.33644E-10,1.65706E-08,,15603.29,
3.4,1.33508E-10,1.66284E-08,,15603.29,
3.2,1.33353E-10,1.62253E-08,,15603.29,
3,1.33196E-10,1.68375E-08,,15603.29,
2.8,1.32982E-10,1.75829E-08,,15603.29,
2.6,1.32742E-10,1.66137E-08,,15603.29,
2.4,1.32451E-10,1.69081E-08,,15603.29,
2.2,1.3211E-10,1.82557E-08,,15603.29,
2,1.31705E-10,1.73265E-08,,15603.29,
1.8,1.31179E-10,1.82571E-08,,15603.29,
1.6,1.30562E-10,1.79798E-08,,15603.29,
1.4,1.29778E-10,1.99678E-08,,15603.29,
1.2,1.28805E-10,2.20435E-08,,15603.29,
1,1.27638E-10,2.21306E-08,,15603.29,
0.8,1.26318E-10,2.51981E-08,,15603.29,
0.6,1.24929E-10,2.63266E-08,,15603.29,
0.4,1.23646E-10,3.02782E-08,,15603.29,
0.2,1.22618E-10,3.26698E-08,,15603.29,
0,1.21875E-10,3.36821E-08,,15603.29,
-0.2,1.21409E-10,3.53854E-08,,15603.29,
-0.4,1.21097E-10,3.62044E-08,,15603.29,
-0.6,1.20895E-10,3.50424E-08,,15603.29,
-0.8,1.20756E-10,3.46571E-08,,15603.29,
-1,1.20643E-10,3.06339E-08,,15603.29,
-1.2,1.20586E-10,2.8677E-08,,15603.29,
-1.4,1.20516E-10,2.53173E-08,,15603.29,
-1.6,1.2047E-10,2.43816E-08,,15603.29,
-1.8,1.2044E-10,2.15206E-08,,15603.29,
-2,1.20408E-10,1.88583E-08,,15603.29,
-2.2,1.20373E-10,1.58999E-08,,15603.29,
-2.4,1.2036E-10,1.66748E-08,,15603.29,
-2.6,1.20327E-10,1.46542E-08,,15603.29,
-2.8,1.20312E-10,1.42628E-08,,15603.29,
-3,1.2031E-10,1.40741E-08,,15603.29,
-3.2,1.20284E-10,1.40721E-08,,15603.29,
-3.4,1.20274E-10,1.39609E-08,,15603.29,
-3.6,1.20244E-10,1.30212E-08,,15603.29,
-3.8,1.2024E-10,1.29477E-08,,15603.29,
-4,1.20214E-10,1.27768E-08,,15603.29,
-4.2,1.20194E-10,1.30073E-08,,15603.29,
-4.4,1.20178E-10,1.2914E-08,,15603.29,
-4.6,1.20151E-10,1.30054E-08,,15603.29,
-4.8,1.20128E-10,1.27511E-08,,15603.29,
-5,1.20104E-10,1.26756E-08,,15603.29,
-5,1.2007E-10,1.51226E-08,,17900.99,
-4.8,1.2015E-10,1.55695E-08,,17900.99,
-4.6,1.20172E-10,1.50847E-08,,17900.99,
-4.4,1.20198E-10,1.63304E-08,,17900.99,
-4.2,1.20222E-10,1.51621E-08,,17900.99,
-4,1.20238E-10,1.43673E-08,,17900.99,
-3.8,1.20269E-10,1.577E-08,,17900.99,
-3.6,1.20287E-10,1.54501E-08,,17900.99,
-3.4,1.20292E-10,1.68925E-08,,17900.99,
-3.2,1.20319E-10,1.77011E-08,,17900.99,
-3,1.20337E-10,1.8007E-08,,17900.99,
-2.8,1.20346E-10,1.95409E-08,,17900.99,
-2.6,1.20374E-10,1.91891E-08,,17900.99,
-2.4,1.2039E-10,2.15356E-08,,17900.99,
-2.2,1.20414E-10,2.20382E-08,,17900.99,
-2,1.2044E-10,2.61072E-08,,17900.99,
-1.8,1.20471E-10,2.54673E-08,,17900.99,
-1.6,1.20512E-10,3.02476E-08,,17900.99,
-1.4,1.20536E-10,3.25185E-08,,17900.99,
-1.2,1.20592E-10,3.29376E-08,,17900.99,
-1,1.20676E-10,3.72707E-08,,17900.99,
-0.8,1.20769E-10,3.73878E-08,,17900.99,
-0.6,1.20906E-10,3.90307E-08,,17900.99,
-0.4,1.21102E-10,4.08959E-08,,17900.99,
-0.2,1.21424E-10,4.00668E-08,,17900.99,
0,1.21906E-10,3.92573E-08,,17900.99,
0.2,1.22659E-10,3.75572E-08,,17900.99,
0.4,1.23705E-10,3.67188E-08,,17900.99,
0.6,1.24995E-10,3.30983E-08,,17900.99,
0.8,1.2638E-10,2.95094E-08,,17900.99,
1,1.27702E-10,2.74585E-08,,17900.99,
1.2,1.28853E-10,2.60992E-08,,17900.99,
1.4,1.29808E-10,2.63477E-08,,17900.99,
1.6,1.30588E-10,2.37732E-08,,17900.99,
1.8,1.31218E-10,2.26652E-08,,17900.99,
2,1.31723E-10,2.24596E-08,,17900.99,
2.2,1.32127E-10,2.32773E-08,,17900.99,
2.4,1.32484E-10,2.21143E-08,,17900.99,
2.6,1.32743E-10,2.1786E-08,,17900.99,
2.8,1.32996E-10,2.24212E-08,,17900.99,
3,1.33203E-10,2.28738E-08,,17900.99,
3.2,1.33358E-10,2.10277E-08,,17900.99,
3.4,1.33519E-10,2.2303E-08,,17900.99,
3.6,1.33649E-10,2.08642E-08,,17900.99,
3.8,1.33766E-10,2.08719E-08,,17900.99,
4,1.3385E-10,2.21572E-08,,17900.99,
4.2,1.33964E-10,2.09669E-08,,17900.99,
4.4,1.34039E-10,2.14336E-08,,17900.99,
4.6,1.34101E-10,2.12269E-08,,17900.99,
4.8,1.34174E-10,2.09108E-08,,17900.99,
5,1.34241E-10,2.16617E-08,,17900.99,
5.2,1.34296E-10,2.12722E-08,,17900.99,
5.4,1.34327E-10,1.95575E-08,,17900.99,
5.6,1.34396E-10,2.1268E-08,,17900.99,
5.8,1.34421E-10,1.89533E-08,,17900.99,
6,1.34463E-10,2.08804E-08,,17900.99,
6.2,1.3451E-10,1.99167E-08,,17900.99,
6.4,1.34537E-10,2.09756E-08,,17900.99,
6.6,1.34568E-10,2.04352E-08,,17900.99,
6.8,1.3459E-10,1.96026E-08,,17900.99,
7,1.34617E-10,2.06357E-08,,17900.99,
7.2,1.34652E-10,2.13986E-08,,17900.99,
7.4,1.34661E-10,1.94336E-08,,17900.99,
7.6,1.34687E-10,2.01627E-08,,17900.99,
7.8,1.34718E-10,1.88514E-08,,17900.99,
8,1.34735E-10,2.11898E-08,,17900.99,
8.2,1.34756E-10,2.00076E-08,,17900.99,
8.4,1.34775E-10,1.97254E-08,,17900.99,
8.6,1.3479E-10,2.0838E-08,,17900.99,
8.8,1.3481E-10,2.06115E-08,,17900.99,
9,1.34833E-10,1.85908E-08,,17900.99,
9.2,1.34845E-10,2.04962E-08,,17900.99,
9.4,1.34843E-10,1.93637E-08,,17900.99,
9.6,1.34859E-10,1.95623E-08,,17900.99,
9.8,1.34885E-10,1.88192E-08,,17900.99,
10,1.34905E-10,1.95762E-08,,17900.99,
10,1.34893E-10,1.92782E-08,,17900.99,
9.8,1.34871E-10,1.87199E-08,,17900.99,
9.6,1.34857E-10,1.98365E-08,,17900.99,
9.4,1.34847E-10,1.96736E-08,,17900.99,
9.2,1.34843E-10,1.94452E-08,,17900.99,
9,1.34834E-10,1.90279E-08,,17900.99,
8.8,1.34805E-10,2.02181E-08,,17900.99,
8.6,1.34788E-10,1.92764E-08,,17900.99,
8.4,1.34781E-10,2.09175E-08,,17900.99,
8.2,1.34751E-10,1.89665E-08,,17900.99,
8,1.34721E-10,2.11839E-08,,17900.99,
7.8,1.34724E-10,2.10329E-08,,17900.99,
7.6,1.3469E-10,1.97773E-08,,17900.99,
7.4,1.34669E-10,1.88813E-08,,17900.99,
7.2,1.34643E-10,2.11066E-08,,17900.99,
7,1.34613E-10,2.19192E-08,,17900.99,
6.8,1.34596E-10,2.09259E-08,,17900.99,
6.6,1.34566E-10,2.09637E-08,,17900.99,
6.4,1.34541E-10,2.00061E-08,,17900.99,
6.2,1.34499E-10,2.22254E-08,,17900.99,
6,1.34473E-10,2.19771E-08,,17900.99,
5.8,1.34427E-10,2.03878E-08,,17900.99,
5.6,1.34381E-10,2.0815E-08,,17900.99,
5.4,1.34319E-10,2.11788E-08,,17900.99,
5.2,1.34288E-10,2.1304E-08,,17900.99,
5,1.34226E-10,2.12087E-08,,17900.99,
4.8,1.3417E-10,2.05771E-08,,17900.99,
4.6,1.34103E-10,2.00308E-08,,17900.99,
4.4,1.34025E-10,2.0019E-08,,17900.99,
4.2,1.33947E-10,2.16723E-08,,17900.99,
4,1.33852E-10,2.0083E-08,,17900.99,
3.8,1.33747E-10,2.08004E-08,,17900.99,
3.6,1.33634E-10,2.14802E-08,,17900.99,
3.4,1.33497E-10,2.06698E-08,,17900.99,
3.2,1.33362E-10,2.25318E-08,,17900.99,
3,1.33178E-10,2.26831E-08,,17900.99,
2.8,1.32977E-10,2.16444E-08,,17900.99,
2.6,1.32762E-10,2.33694E-08,,17900.99,
2.4,1.32436E-10,2.23191E-08,,17900.99,
2.2,1.32105E-10,2.32714E-08,,17900.99,
2,1.31698E-10,2.3912E-08,,17900.99,
1.8,1.3119E-10,2.38455E-08,,17900.99,
1.6,1.30559E-10,2.59548E-08,,17900.99,
1.4,1.29774E-10,2.49073E-08,,17900.99,
1.2,1.28789E-10,2.47105E-08,,17900.99,
1,1.27638E-10,2.81878E-08,,17900.99,
0.8,1.26306E-10,3.02924E-08,,17900.99,
0.6,1.24914E-10,3.12467E-08,,17900.99,
0.4,1.23638E-10,3.50261E-08,,17900.99,
0.2,1.22586E-10,3.79626E-08,,17900.99,
0,1.21852E-10,3.88918E-08,,17900.99,
-0.2,1.2138E-10,4.15014E-08,,17900.99,
-0.4,1.21079E-10,3.97595E-08,,17900.99,
-0.6,1.20867E-10,3.92731E-08,,17900.99,
-0.8,1.20748E-10,3.67441E-08,,17900.99,
-1,1.20644E-10,3.39448E-08,,17900.99,
-1.2,1.20578E-10,3.24211E-08,,17900.99,
-1.4,1.20512E-10,2.99416E-08,,17900.99,
-1.6,1.20469E-10,2.58687E-08,,17900.99,
-1.8,1.20437E-10,2.36932E-08,,17900.99,
-2,1.20401E-10,2.34747E-08,,17900.99,
-2.2,1.20354E-10,2.00515E-08,,17900.99,
-2.4,1.20354E-10,1.88673E-08,,17900.99,
-2.6,1.20325E-10,1.67414E-08,,17900.99,
-2.8,1.20312E-10,1.67772E-08,,17900.99,
-3,1.20294E-10,1.70475E-08,,17900.99,
-3.2,1.20291E-10,1.62388E-08,,17900.99,
-3.4,1.20251E-10,1.61257E-08,,17900.99,
-3.6,1.2024E-10,1.80609E-08,,17900.99,
-3.8,1.20218E-10,1.49038E-08,,17900.99,
-4,1.20211E-10,1.61655E-08,,17900.99,
-4.2,1.20181E-10,1.40158E-08,,17900.99,
-4.4,1.20171E-10,1.47251E-08,,17900.99,
-4.6,1.20131E-10,1.50431E-08,,17900.99,
-4.8,1.20119E-10,1.52219E-08,,17900.99,
-5,1.20095E-10,1.45444E-08,,17900.99,
-5,1.2014E-10,1.58958E-08,,20537.04,
-4.8,1.20128E-10,1.9651E-08,,20537.04,
-4.6,1.20128E-10,1.58939E-08,,20537.04,
-4.4,1.20172E-10,1.9329E-08,,20537.04,
-4.2,1.20232E-10,2.2933E-08,,20537.04,
-4,1.20218E-10,1.5842E-08,,20537.04,
-3.8,1.20231E-10,2.17767E-08,,20537.04,
-3.6,1.20295E-10,2.19236E-08,,20537.04,
-3.4,1.20287E-10,1.79559E-08,,20537.04,
-3.2,1.2033E-10,2.23606E-08,,20537.04,
-3,1.20353E-10,2.06837E-08,,20537.04,
-2.8,1.20378E-10,2.34433E-08,,20537.04,
-2.6,1.2039E-10,1.85676E-08,,20537.04,
-2.4,1.20405E-10,2.25611E-08,,20537.04,
-2.2,1.20406E-10,2.61116E-08,,20537.04,
-2,1.20453E-10,3.03951E-08,,20537.04,
-1.8,1.20441E-10,2.94195E-08,,20537.04,
-1.6,1.2047E-10,3.37925E-08,,20537.04,
-1.4,1.20504E-10,3.78118E-08,,20537.04,
-1.2,1.20583E-10,4.21846E-08,,20537.04,
-1,1.20632E-10,3.85188E-08,,20537.04,
-0.8,1.20759E-10,4.49897E-08,,20537.04,
-0.6,1.20916E-10,4.37675E-08,,20537.04,
-0.4,1.21106E-10,4.97136E-08,,20537.04,
-0.2,1.2135E-10,4.93496E-08,,20537.04,
0,1.21874E-10,4.55696E-08,,20537.04,
0.2,1.22671E-10,4.8737E-08,,20537.04,
0.4,1.23653E-10,4.11196E-08,,20537.04,
0.6,1.24996E-10,4.52297E-08,,20537.04,
0.8,1.26361E-10,3.64133E-08,,20537.04,
1,1.2772E-10,3.42906E-08,,20537.04,
1.2,1.28865E-10,3.25537E-08,,20537.04,
1.4,1.29817E-10,3.43696E-08,,20537.04,
1.6,1.30573E-10,3.16779E-08,,20537.04,
1.8,1.31186E-10,3.10547E-08,,20537.04,
2,1.31696E-10,2.93648E-08,,20537.04,
2.2,1.32109E-10,3.22408E-08,,20537.04,
2.4,1.32482E-10,2.78411E-08,,20537.04,
2.6,1.32764E-10,4.08661E-08,,20537.04,
2.8,1.32961E-10,2.8605E-08,,20537.04,
3,1.33211E-10,2.92224E-08,,20537.04,
3.2,1.3332E-10,2.92042E-08,,20537.04,
3.4,1.33507E-10,2.87787E-08,,20537.04,
3.6,1.33646E-10,2.73876E-08,,20537.04,
3.8,1.33748E-10,2.5931E-08,,20537.04,
4,1.33895E-10,3.42972E-08,,20537.04,
4.2,1.33953E-10,2.74425E-08,,20537.04,
4.4,1.34039E-10,2.67112E-08,,20537.04,
4.6,1.34132E-10,2.70766E-08,,20537.04,
4.8,1.34141E-10,2.40486E-08,,20537.04,
5,1.3426E-10,2.96512E-08,,20537.04,
5.2,1.3433E-10,2.67622E-08,,20537.04,
5.4,1.34327E-10,2.55681E-08,,20537.04,
5.6,1.34391E-10,3.12841E-08,,20537.04,
5.8,1.34385E-10,3.3404E-08,,20537.04,
6,1.3447E-10,2.15266E-08,,20537.04,
6.2,1.34503E-10,2.36326E-08,,20537.04,
6.4,1.3449E-10,2.4783E-08,,20537.04,
6.6,1.34587E-10,2.25178E-08,,20537.04,
6.8,1.34601E-10,2.70139E-08,,20537.04,
7,1.34575E-10,2.56331E-08,,20537.04,
7.2,1.34653E-10,2.89629E-08,,20537.04,
7.4,1.34685E-10,2.81999E-08,,20537.04,
7.6,1.34701E-10,2.05744E-08,,20537.04,
7.8,1.34761E-10,2.41168E-08,,20537.04,
8,1.34728E-10,2.52732E-08,,20537.04,
8.2,1.34763E-10,2.46433E-08,,20537.04,
8.4,1.34783E-10,2.92189E-08,,20537.04,
8.6,1.34832E-10,2.05384E-08,,20537.04,
8.8,1.34833E-10,2.11483E-08,,20537.04,
9,1.3482E-10,2.80525E-08,,20537.04,
9.2,1.34854E-10,2.76789E-08,,20537.04,
9.4,1.3487E-10,2.42556E-08,,20537.04,
9.6,1.34875E-10,2.36138E-08,,20537.04,
9.8,1.34942E-10,2.38859E-08,,20537.04,
10,1.34859E-10,1.85296E-08,,20537.04,
10,1.3489E-10,2.76073E-08,,20537.04,
9.8,1.34903E-10,3.10942E-08,,20537.04,
9.6,1.34844E-10,2.26165E-08,,20537.04,
9.4,1.34859E-10,2.71584E-08,,20537.04,
9.2,1.34893E-10,2.42118E-08,,20537.04,
9,1.34814E-10,2.22451E-08,,20537.04,
8.8,1.34793E-10,3.03811E-08,,20537.04,
8.6,1.34772E-10,2.59844E-08,,20537.04,
8.4,1.34773E-10,2.68963E-08,,20537.04,
8.2,1.34801E-10,2.41266E-08,,20537.04,
8,1.34776E-10,2.68427E-08,,20537.04,
7.8,1.34709E-10,3.15575E-08,,20537.04,
7.6,1.34715E-10,2.66858E-08,,20537.04,
7.4,1.34653E-10,2.46018E-08,,20537.04,
7.2,1.34607E-10,2.64536E-08,,20537.04,
7,1.34618E-10,2.80947E-08,,20537.04,
6.8,1.3461E-10,2.77768E-08,,20537.04,
6.6,1.34584E-10,2.30244E-08,,20537.04,
6.4,1.3455E-10,2.33722E-08,,20537.04,
6.2,1.34488E-10,2.65353E-08,,20537.04,
6,1.34464E-10,2.84547E-08,,20537.04,
5.8,1.34409E-10,2.51944E-08,,20537.04,
5.6,1.34359E-10,2.51051E-08,,20537.04,
5.4,1.34265E-10,2.32059E-08,,20537.04,
5.2,1.34286E-10,2.3943E-08,,20537.04,
5,1.34185E-10,2.31048E-08,,20537.04,
4.8,1.34157E-10,2.68063E-08,,20537.04,
4.6,1.34128E-10,2.85667E-08,,20537.04,
4.4,1.34028E-10,2.55112E-08,,20537.04,
